Sample,Porosity,lPerm,lMode
312,0.05834,-2.732828272,-1.397940009
313,0.04553,-1.437826137,-1.397940009
314,0.03918,-2.749579998,-1.522878745
315,0.03451,0.67963046,-1.522878745
316,0.04457,-2.542118103,-1.522878745
317,0.03517,-2.982966661,-1.522878745
318,0.05956,-1.469928431,-1.522878745
319,0.03586,-2.68613278,-1.522878745
320,0.03485,-3.251811973,-1.522878745
321,0.03333,-0.589425203,-1.522878745
322,0.01689,-2.088842391,-1.522878745
323,0.02057,-3.886056648,-1.698970004
324,0.01387,-1.204258979,-1.698970004
325,0.02185,-3.443697499,-1.698970004
326,0.01512,-3.698970004,-2
327,0.02062,-3.096910013,-2
328,0.01889,-3.148741651,-2
